ID,Date,Game Type,Game Value,Position,Winnings,Total Winnings
194376113, 29-Oct-10  00:32 , NL Holdem   ,$4 ,12,3.7,721.9
194374728, 29-Oct-10  00:26 , NL Holdem   ,$4 ,47,-4.4,718.2
193940160, 27-Oct-10  01:21 , NL Holdem   ,$4 ,21,-4.4,722.6
193937520, 27-Oct-10  01:03 , NL Holdem   ,$4 ,20,-4.4,727
193936019, 27-Oct-10  00:48 , NL Holdem   ,$4 ,53,-4.4,731.4
193931413, 27-Oct-10  00:41 , NL Holdem   ,$4 ,64,-4.4,735.8
193934769, 27-Oct-10  00:37 , NL Holdem   ,$4 ,12,3.7,740.2
193935412, 27-Oct-10  00:34 , NL Holdem   ,$4 ,58,-4.4,736.5
193932694, 27-Oct-10  00:30 , NL Holdem   ,$4 ,90,-4.4,740.9
193930880, 27-Oct-10  00:09 , NL Holdem   ,$4 ,101,-4.4,745.3
193931964, 27-Oct-10  00:05 , NL Holdem   ,$4 ,63,-4.4,749.7
193713059, 26-Oct-10  00:58 , NL Holdem   ,$4 ,16,-4.4,754.1
193712449, 26-Oct-10  00:46 , NL Holdem   ,$4 ,9,7.75,758.5
193711690, 26-Oct-10  00:41 , NL Holdem   ,$4 ,57,-4.4,750.75
192746180, 21-Oct-10  16:29 , NL Holdem   ,$4 ,18,-4.4,755.15
192745714, 21-Oct-10  16:16 , NL Holdem   ,$4 ,13,2.35,759.55
192744597, 21-Oct-10  15:52 , NL Holdem   ,$4 ,97,-4.4,757.2
192741248, 21-Oct-10  16:06 , NL Holdem   ,$4 ,58,-4.4,761.6
192738481, 21-Oct-10  15:40 , NL Holdem   ,$4 ,1,149.5,766
192737544, 21-Oct-10  15:31 , NL Holdem   ,$4 ,72,-4.4,616.5
192736026, 21-Oct-10  15:19 , NL Holdem   ,$4 ,118,-4.4,620.9
192735233, 21-Oct-10  15:17 , NL Holdem   ,$4 ,24,-4.4,625.3
192734528, 21-Oct-10  15:19 , NL Holdem   ,$4 ,127,-4.4,629.7
192733732, 21-Oct-10  15:10 , NL Holdem   ,$4 ,110,-4.4,634.1
192733029, 21-Oct-10  15:28 , NL Holdem   ,$4 ,56,-4.4,638.5
192732498, 21-Oct-10  15:17 , NL Holdem   ,$4 ,93,-4.4,642.9
192642685, 21-Oct-10  03:27 , NL Holdem   ,$4 ,86,-4.4,647.3
192640108, 21-Oct-10  03:16 , NL Holdem   ,$4 ,43,-4.4,651.7
192638869, 21-Oct-10  03:08 , NL Holdem   ,$4 ,28,-4.4,656.1
192544152, 20-Oct-10  17:26 , NL Holdem   ,$4 ,73,-4.4,660.5
192137725, 18-Oct-10  19:41 , NL Holdem   ,$4 ,27,-4.4,664.9
192137091, 18-Oct-10  19:38 , NL Holdem   ,$4 ,27,-4.4,669.3
192136598, 18-Oct-10  19:37 , NL Holdem   ,$4 ,2,92.8,673.7
191345180, 15-Oct-10  03:26 , NL Holdem   ,$4 ,39,-4.4,580.9
191122032, 14-Oct-10  02:20 , NL Holdem   ,$4 ,91,-4.4,585.3
191030808, 13-Oct-10  17:14 , NL Holdem   ,$4 ,91,-4.4,589.7
191029555, 13-Oct-10  17:05 , NL Holdem   ,$4 ,126,-4.4,594.1
191028888, 13-Oct-10  17:07 , NL Holdem   ,$4 ,6,25.3,598.5
191028277, 13-Oct-10  16:57 , NL Holdem   ,$4 ,46,-4.4,573.2
191027706, 13-Oct-10  17:02 , NL Holdem   ,$4 ,121,-4.4,577.6
189366201, 5-Oct-10  20:49 , NL Holdem   ,$4 ,26,-4.4,582
189346221, 5-Oct-10  18:51 , NL Holdem   ,$4 ,13,2.35,586.4
189341313, 5-Oct-10  18:22 , NL Holdem   ,$4 ,60,-4.4,584.05
186671684, 23-Sep-10  01:45 , NL Holdem   ,$4 ,9,7.75,588.45
186441512, 22-Sep-10  00:04 , NL Holdem   ,$4 ,26,-4.4,580.7
186440820, 22-Sep-10  00:16 , NL Holdem   ,$4 ,1,149.5,585.1
183512508, 8-Sep-10  15:24 , NL Holdem   ,$4 ,56,-4.4,435.6
182479722, 3-Sep-10  19:40 , NL Holdem   ,$4 ,23,-4.4,440
179378992, 19-Aug-10  16:58 , NL Holdem   ,$4 ,125,-4.4,444.4
178061763, 12-Aug-10  23:44 , NL Holdem   ,$4 ,7,15.85,448.8
177864267, 11-Aug-10  23:55 , NL Holdem   ,$4 ,5,36.1,432.95
177863503, 11-Aug-10  23:49 , NL Holdem   ,$4 ,129,-4.4,396.85
177615767, 10-Aug-10  18:52 , NL Holdem   ,$4 ,75,-4.4,401.25
177615102, 10-Aug-10  19:10 , NL Holdem   ,$4 ,18,-4.4,405.65
177475552, 10-Aug-10  01:20 , NL Holdem   ,$4 ,80,-4.4,410.05
177474870, 10-Aug-10  01:41 , NL Holdem   ,$4 ,43,-4.4,414.45
177266921, 9-Aug-10  00:33 , NL Holdem   ,$4 ,37,-4.4,418.85
177264595, 9-Aug-10  00:33 , NL Holdem   ,$4 ,76,-4.4,423.25
177151807, 8-Aug-10  13:18 , NL Holdem   ,$4 ,31,-4.4,427.65
177147420, 8-Aug-10  12:56 , NL Holdem   ,$4 ,2,92.8,432.05
176856944, 6-Aug-10  23:26 , NL Holdem   ,$4 ,69,-4.4,339.25
176856212, 6-Aug-10  23:13 , NL Holdem   ,$4 ,59,-4.4,343.65
176658822, 5-Aug-10  23:09 , NL Holdem   ,$4 ,45,-4.4,348.05
176658111, 5-Aug-10  23:09 , NL Holdem   ,$4 ,66,-4.4,352.45
176585262, 5-Aug-10  16:20 , NL Holdem   ,$4 ,106,-4.4,356.85
176451211, 4-Aug-10  22:23 , NL Holdem   ,$4 ,26,-4.4,361.25
176446947, 4-Aug-10  22:12 , NL Holdem   ,$4 ,66,-4.4,365.65
176445621, 4-Aug-10  21:51 , NL Holdem   ,$4 ,19,-4.4,370.05
176444899, 4-Aug-10  21:55 , NL Holdem   ,$4 ,27,-4.4,374.45
176408984, 4-Aug-10  18:17 , NL Holdem   ,$4 ,33,-4.4,378.85
176403384, 4-Aug-10  18:10 , NL Holdem   ,$4 ,43,-4.4,383.25
176402541, 4-Aug-10  17:52 , NL Holdem   ,$4 ,10,3.7,387.65
176170977, 3-Aug-10  15:35 , NL Holdem   ,$4 ,27,-4.4,383.95
176169505, 3-Aug-10  15:24 , NL Holdem   ,$4 ,118,-4.4,388.35
176058451, 3-Aug-10  00:15 , NL Holdem   ,$4 ,35,-4.4,392.75
175944327, 2-Aug-10  13:31 , NL Holdem   ,$4 ,9,7.75,397.15
175865734, 2-Aug-10  00:57 , NL Holdem   ,$4 ,54,-4.4,389.4
175862241, 2-Aug-10  00:32 , NL Holdem   ,$4 ,51,-4.4,393.8
175672134, 1-Aug-10  01:40 , NL Holdem   ,$4 ,73,-4.4,398.2
175631190, 31-Jul-10  20:35 , NL Holdem   ,$4 ,18,-4.4,402.6
175629789, 31-Jul-10  20:07 , NL Holdem   ,$4 ,101,-4.4,407
175442449, 30-Jul-10  20:32 , NL Holdem   ,$4 ,13,2.35,411.4
175440251, 30-Jul-10  20:21 , NL Holdem   ,$4 ,103,-4.4,409.05
174866105, 27-Jul-10  20:33 , NL Holdem   ,$4 ,1,149.5,413.45
174865373, 27-Jul-10  20:47 , NL Holdem   ,$4 ,22,-4.4,263.95
174459655, 25-Jul-10  18:43 , NL Holdem   ,$4 ,94,-4.4,268.35
174390340, 25-Jul-10  11:26 , NL Holdem   ,$4 ,48,-4.4,272.75
174321428, 25-Jul-10  00:23 , NL Holdem   ,$4 ,64,-4.4,277.15
174273154, 24-Jul-10  18:37 , NL Holdem   ,$4 ,27,-4.4,281.55
174272471, 24-Jul-10  18:28 , NL Holdem   ,$4 ,33,-4.4,285.95
174265330, 24-Jul-10  17:43 , NL Holdem   ,$4 ,30,-4.4,290.35
174138709, 24-Jul-10  00:39 , NL Holdem   ,$4 ,45,-4.4,294.75
173779884, 22-Jul-10  02:45 , NL Holdem   ,$4 ,54,-4.4,299.15
173779094, 22-Jul-10  02:31 , NL Holdem   ,$4 ,34,-4.4,303.55
173777456, 22-Jul-10  02:31 , NL Holdem   ,$4 ,91,-4.4,307.95
171620978, 10-Jul-10  15:19 , NL Holdem   ,$4 ,77,-4.4,312.35
171620513, 10-Jul-10  15:03 , NL Holdem   ,$4 ,84,-4.4,316.75
171503296, 9-Jul-10  23:19 , NL Holdem   ,$4 ,81,-4.4,321.15
171501718, 9-Jul-10  23:13 , NL Holdem   ,$4 ,98,-4.4,325.55
171454986, 9-Jul-10  18:21 , NL Holdem   ,$4 ,32,-4.4,329.95
171454234, 9-Jul-10  18:29 , NL Holdem   ,$4 ,128,-4.4,334.35
171453696, 9-Jul-10  18:21 , NL Holdem   ,$4 ,82,-4.4,338.75
171449911, 9-Jul-10  17:48 , NL Holdem   ,$4 ,60,-4.4,343.15
171448768, 9-Jul-10  17:54 , NL Holdem   ,$4 ,31,-4.4,347.55
171448077, 9-Jul-10  17:43 , NL Holdem   ,$4 ,39,-4.4,351.95
171447327, 9-Jul-10  17:47 , NL Holdem   ,$4 ,80,-4.4,356.35
171284462, 8-Jul-10  17:18 , NL Holdem   ,$4 ,86,-4.4,360.75
171283884, 8-Jul-10  17:22 , NL Holdem   ,$4 ,2,92.8,365.15
171181846, 8-Jul-10  00:48 , NL Holdem   ,$4 ,1,149.5,272.35
171113007, 7-Jul-10  17:43 , NL Holdem   ,$4 ,13,2.35,122.85
171111439, 7-Jul-10  17:37 , NL Holdem   ,$4 ,104,-4.4,120.5
170968520, 6-Jul-10  21:59 , NL Holdem   ,$4 ,107,-4.4,124.9
168836470, 25-Jun-10  14:26 , NL Holdem   ,$4 ,3,65.8,129.3
168835689, 25-Jun-10  14:01 , NL Holdem   ,$4 ,84,-4.4,63.5
168830597, 25-Jun-10  13:31 , NL Holdem   ,$4 ,24,-4.4,67.9
168564302, 24-Jun-10  00:34 , NL Holdem   ,$4 ,2,92.8,72.3
168182564, 21-Jun-10  23:36 , NL Holdem   ,$4 ,107,-4.4,-20.5
168013525, 21-Jun-10  03:08 , NL Holdem   ,$4 ,77,-4.4,-16.1
168012557, 21-Jun-10  02:55 , NL Holdem   ,$4 ,47,-4.4,-11.7
167814693, 20-Jun-10  02:26 , NL Holdem   ,$4 ,30,-4.4,-7.3
167812869, 20-Jun-10  02:10 , NL Holdem   ,$4 ,9,7.75,-2.9
167211263, 16-Jun-10  21:04 , NL Holdem   ,$4 ,75,-4.4,-10.65
166550928, 13-Jun-10  15:01 , NL Holdem   ,$4 ,30,-4.4,-6.25
166550287, 13-Jun-10  14:41 , NL Holdem   ,$4 ,56,-4.4,-1.85
166548021, 13-Jun-10  14:39 , NL Holdem   ,$4 ,89,-4.4,2.55
166547393, 13-Jun-10  14:34 , NL Holdem   ,$4 ,70,-4.4,6.95
166546727, 13-Jun-10  14:34 , NL Holdem   ,$4 ,115,-4.4,11.35
166347888, 12-Jun-10  14:45 , NL Holdem   ,$4 ,112,-4.4,15.75
166342744, 12-Jun-10  14:01 , NL Holdem   ,$4 ,44,-4.4,20.15
166042437, 11-Jun-10  00:13 , NL Holdem   ,$4 ,17,-4.4,24.55
166018621, 10-Jun-10  21:31 , NL Holdem   ,$4 ,50,-4.4,28.95
166017987, 10-Jun-10  21:24 , NL Holdem   ,$4 ,74,-4.4,33.35
166016599, 10-Jun-10  21:00 , NL Holdem   ,$4 ,84,-4.4,37.75
166015969, 10-Jun-10  21:11 , NL Holdem   ,$4 ,86,-4.4,42.15
166013256, 10-Jun-10  20:45 , NL Holdem   ,$4 ,58,-4.4,46.55
166012574, 10-Jun-10  20:56 , NL Holdem   ,$4 ,67,-4.4,50.95
166011794, 10-Jun-10  20:34 , NL Holdem   ,$4 ,30,-4.4,55.35
166009220, 10-Jun-10  20:33 , NL Holdem   ,$4 ,63,-4.4,59.75
165948407, 10-Jun-10  15:21 , NL Holdem   ,$4 ,7,15.85,64.15
165854458, 10-Jun-10  01:59 , NL Holdem   ,$4 ,34,-4.4,48.3
165798229, 9-Jun-10  19:54 , NL Holdem   ,$4 ,126,-4.4,52.7
165793697, 9-Jun-10  19:24 , NL Holdem   ,$4 ,61,-4.4,57.1
165602673, 8-Jun-10  20:49 , NL Holdem   ,$4 ,82,-4.4,61.5
165600169, 8-Jun-10  20:34 , NL Holdem   ,$4 ,23,-4.4,65.9
165599454, 8-Jun-10  20:25 , NL Holdem   ,$4 ,76,-4.4,70.3
165539140, 8-Jun-10  15:23 , NL Holdem   ,$4 ,20,-4.4,74.7
165439565, 8-Jun-10  01:44 , NL Holdem   ,$4 ,5,36.1,79.1
165438178, 8-Jun-10  01:36 , NL Holdem   ,$4 ,2,92.8,43
165437373, 8-Jun-10  01:20 , NL Holdem   ,$4 ,80,-4.4,-49.8
165359853, 7-Jun-10  17:38 , NL Holdem   ,$4 ,8,11.8,-45.4
165358323, 7-Jun-10  17:39 , NL Holdem   ,$4 ,121,-4.4,-57.2
165357478, 7-Jun-10  17:34 , NL Holdem   ,$4 ,78,-4.4,-52.8
165336666, 7-Jun-10  15:41 , NL Holdem   ,$4 ,39,-4.4,-48.4
165213634, 6-Jun-10  23:17 , NL Holdem   ,$4 ,36,-4.4,-44
165212424, 6-Jun-10  22:58 , NL Holdem   ,$4 ,92,-4.4,-39.6
165211736, 6-Jun-10  23:11 , NL Holdem   ,$4 ,72,-4.4,-35.2
165205557, 6-Jun-10  22:32 , NL Holdem   ,$4 ,31,-4.4,-30.8
165203667, 6-Jun-10  22:25 , NL Holdem   ,$4 ,18,-4.4,-26.4
165173237, 6-Jun-10  19:24 , NL Holdem   ,$4 ,35,-4.4,-22
165171993, 6-Jun-10  19:22 , NL Holdem   ,$4 ,122,-4.4,-17.6
165169324, 6-Jun-10  18:41 , NL Holdem   ,$4 ,86,-4.4,-13.2
165162321, 6-Jun-10  18:22 , NL Holdem   ,$4 ,43,-4.4,-8.8
165155737, 6-Jun-10  17:36 , NL Holdem   ,$4 ,37,-4.4,-4.4
